CO_LOCAL_OFERTA_IES|NO_LOCAL_OFERTA|CO_IES
659915|Faculdade IESP|4740
659916|CAMPUS  - OLINDA - JARDIM ATLÂNTICO|4742
1050271|Anexo I - Av. Marcos Freire, nº3707|4742
24324|Unidade Recanto das Emas|3610
28447|Unidade Taguatinga|3610
659561|CAMPUS  - BRASÍLIA - GUARÁ I|3610
1052302|Unidade de Águas Claras|3610
659563|Faculdade Anhanguera de Valinhos|3612
659564|Unidade SEDE|3613
700807|CAMPUS  - RIO DE JANEIRO - BOTAFOGO|3614
659566|CAMPUS  - RECIFE - IMBIRIBEIRA|3615
1072258|Campus Aparecida de Goiânia|3974
1045480|UNIDADE SEDE II|3975
659688|UNIDADE MARCO ZERO|3977
659689|Unidade SEDE|3978
659690|Unidade Acadêmica|3979
1052651|Sede|3979
699277|FACULDADE JK BRASÍLIA - UNIDADE PLANO PILOTO|3980
659692|CAMPUS  - CURITIBA - CENTRO|3981
659694|Centro Universitário de Formiga - UNIFOR/MG|3983
1046134|Campus Machado|4358
1066194|Câmpus Pouso Alegre|4358
1066225|Câmpus Poços de Caldas|4358
659828|CAMPUS  - BETIM - BETIM|4362
659829|Unidade SEDE|4367
659830|CAMPUS  - CAJAMAR - LAVRINHA|4371
1040930|Unidade SEDE|4396
1928|Faculdade Anhanguera de Campinas - Unidade II|4826
4233|Faculdade Anhanguera de Campinas - Unidade III|4826
32681|Faculdade Anhanguera de Campinas - Unidade I|4826
659945|Faculdade Anhanguera de Campinas - Unidade IV (SEDE)|4826
659946|Unidade SEDE|4829
659948|Unidade SEDE|4836
659567|Unidade SEDE|3617
659568|CAMPUS GRANJA VIANA|3618
1056899|Faculdade Mario Schenberg - Unidade II|3618
659569|Unidade SEDE|3625
1042476|Unidade SEDE|3631
659572|CAMPUS  - BARRETOS - AEROPORTO|3641
600268|CAMPUS CENTRO|3984
1040189|CAMPUS CIÊNCIAS AGRÁRIAS|3984
1046634|CAMPUS SENHOR DO BONFIM|3984
1046636|CAMPUS JUAZEIRO|3984
1046637|CAMPUS SERRA DA CAPIVARA|3984
1060670|Campus de Paulo Afonso|3984
1066214|Polo de Apoio Presencial - Ouricuri|3984
1068468|Polo UAB de Trindade - PE|3984
1068469|NTE Salgueiro|3984
1068470|Núcleo de Tecnologia  Educacional de Petrolina|3984
659835|UNIDADE Sede|4399
659836|CAMPUS  - JI-PARANÁ - URUPÁ|4411
1039523|Unidade SEDE|4411
659837|Sede-Gama|4416
1041105|Unidade SEDE|4417
659839|Faculdades Integradas Barros Melo|4420
700999|CAMPUS  - BELO HORIZONTE - FUNCIONÁRIOS|4421
659842|Unidade Sede|4428
1056379|Faculdade Unigran Capital|4429
659844|CAMPUS  - MOSSORÓ - ALTO DE SÃO MANOEL|4431
659846|CAMPUS  - GUARULHOS - CENTRO|4442
1060049|Câmpus São Bernardo do Campo|4925
659970|CAMPUS - PRAIA GRANDE - BOQUEIRÃO|4926
1049955|REBOUÇAS|4938
659971|Escola Superior de Administração e Gestão da Baixada Santista|4943
659972|SEDE|4945
706903|CAMPUS  - CUIABÁ - CENTRO|4950
1059060|Faculdade de Feira de Santana|4959
32141|Campus II|4962
659573|Unidade SEDE|3643
659574|Unidade SEDE|3644
659576|Unidade SEDE|3648
1048196|Faculdade Anhanguera de Cuiabá|3648
143781|UNIDADE SEDE|3649
659578|Faculdade de Computação de Montes Claros|3657
6176|Unidade Taguatinga|3663
659579|CAMPUS  - BRASÍLIA - ASA SUL|3663
659580|CAMPUS  - RIBEIRÃO PRETO - CAMPOS ELÍSEOS|3667
659581|UNIDADE  - RIBEIRA DO POMBAL - POMBALZINHO|3669
2993|Unidade Descentralizada de Campos do Jordão|3985
2994|Unidade Descentralizada de Águas de São Pedro|3985
659695|SÃO PAULO (SEDE)|3985
659847|Unidade SEDE|4443
659848|CAMPUS  - GUANHÃES - NOVA UNIÃO|4446
1041237|FACULDADE METROPOLITANA DA AMAZÔNIA - FAMAZ|4450
659850|CAMPUS  - MARABÁ - NOVA MARABÁ|4452
1037292|Unidade SEDE|4452
1043423|Unidade Desativada|4460
1052422|Unidade Administrativa|4460
140542|Unidade SEDE|4492
659619|CAMPUS  - JARAGUÁ DO SUL - VILA LALAU|4495
659855|CAMPUS  - JARAGUÁ DO SUL - VILA LALAU|4495
1042313|Unidade SEDE|4747
659920|UNIDADE II|4751
36267|Unidade Sede|4756
659921|SEDE ACADÊMICA|4756
659922|SEDE|4765
659923|CAMPUS  - CONTAGEM - BEATRIZ|4766
659926|CAMPUS  - BELO HORIZONTE - CIDADE JARDIM|4773
659927|UNIDADE VENDA NOVA|4777
659928|SEDE|4780
659929|Unidade Fortaleza - Centro|4784
1006266|Instituto Federal de Rondônia - Campus Colorado do Oeste|4785
1051981|Instituto Federal de Rondônia - Campus Ji-Paraná|4785
1052055|Instituto Federal de Rondônia - Campus Porto Velho|4785
1052280|Instituto Federal de Rondônia - Campus Ariquemes|4785
1056974|INSTITUTO FEDERAL DE RONDÔNIA - CAMPUS VILHENA|4785
1057380|SINAL - SEDE|3675
659584|CAMPUS  - FORTALEZA - CENTRO|3680
1043678|Unidade SEDE|3682
659587|FESC|3684
659588|CAMPUS  - IVAIPORÃ - CENTRO|3688
659589|Unidade SEDE|3690
698093|CAMPUS  - CAMPINAS - CENTRO|3692
659592|CAMPUS  - SÃO PAULO - LIBERDADE|3693
659593|CAMPUS  - PORTO ALEGRE - SANTANA|3697
659595|CAMPUS  - RIO DE JANEIRO - CENTRO|3710
1060075|Veredas|3716
659597|CAMPUS  - TIMON - LOTEAMENTO BOA VISTA|3724
659598|Unidade SEDE|3741
659599|CAMPUS - JACAREÍ - VILA MARTINEZ|3743
701956|SEDE|3746
1043513|POLO TITO|3985
1057232|Unidade Tiradentes|3985
3013|MARINGÁ|3986
13774|Polo Tamandaré|3986
13779|FOZ DO IGUAÇU|3986
659697|CAMPUS  - TRINDADE - SETOR LAGUNA PARQUE|3987
659856|CAMPUS  - IVAIPORÃ - CENTRO|4496
659858|CAMPUS  - RIO DE JANEIRO - CAMPO GRANDE|4502
6789|Unidade SEDE|4503
1005208|Centro de Artes Humanidades e Letras|4503
1005209|Centro de Ciências da Saúde|4503
686015|FACULDADES INTEGRADAS DE PATOS - CIÊNCIAS ECONÔMICAS|3304
696989|FATIPUC|3306
659446|SEDE|3307
1059508|Unidade Acadêmica|3307
659447|Unidade SEDE|3308
1060719|Unidade Acadêmica|3311
659453|CAMPUS  - CATALÃO - SANTA CRUZ|3319
659454|CAMPUS  - CAMPINAS - JARDIM GARCIA|3323
1061073|Unidade Mooca|3746
686222|CAMPUS  - SÃO JOSÉ DO RIO PRETO - IMPERIAL|3753
690337|CAMPUS  - LAVRAS - KENEDDY|3754
659605|CAMPUS  - ALMENARA - SÃO PEDRO|3756
707599|SEDE  - URUAÇU|3757
105129|Unidade SEDE|3758
659608|Unidade SEDE|3760
659609|IBGEN-Instituto Brasileiro de Gestão de Negócios|3768
659610|Unidade SEDE|3769
659611|Unidade SEDE|3770
659612|Unidade SEDE|3772
3515|Sede|3774
1056439|UNIDADE SEDE|3774
1006670|Unidade SEDE|3775
1050557|Instituto UVB.br (Nova Sede)|3775
106572|Unidade SEDE|3776
659699|SEDE|3990
1060919|UNIDADE II|3990
659700|CAMPUS  - PORTO VELHO - AREAL|3991
659701|Unidade SEDE|3992
1046191|W3 NORTE|3992
659702|Unidade SEDE|3993
659703|Unidade SEDE|3995
659704|CAMPUS  - RECIFE - BOA VISTA|3996
1039739|Unidade SEDE|3998
1052018|Alfamidia|3998
704699|CAMPUS  - MARÍLIA|4000
659708|Senhor do Bonfim-Centro|4005
659709|CAMPUS  - PELOTAS - CENTRO|4006
702273|UNIDADE  - PIRASSUNUNGA - JARDIM URUPÊS|4007
699604|Unidade SEDE|4008
1047335|SEDE - BAIRRO ALTO|4009
1005210|Centro de Formação de Professores|4503
1063028|Centro de Ciências e Tecnologia em Energia e Sustentabilidade|4503
1063121|Centro de Cultura, Linguagens e Tecnologias Aplicadas|4503
25872|UFGD - Unidade II|4504
3662|Unidade Santa Luzia|3332
139008|Unidade SEDE|3333
1043622|Ftec Porto Alegre - Unidade III|3333
1043623|Ftec Bento Gonçalves|3333
1043624|Ftec Novo Hamburgo|3333
2917|Unidade de Alegrete|3336
2919|Unidade de Bento Gonçalves|3336
2922|Unidade de Caxias do Sul|3336
2928|Unidade de Guaíba|3336
2930|Unidade de Montenegro|3336
2931|Unidade de Novo Hamburgo|3336
1056107|Campus Batel|3777
106566|Unidade SEDE|3778
659618|SEDE - SANTO ANDRÉ|3779
659620|Unidade SEDE|3782
659621|Unidade SEDE|3783
1060593|Almirante Tamandaré|3783
143797|Unidade Sede (Atual)|3784
1055680|João Paulo|3785
106569|Unidade SEDE|3786
1050201|Unidade Venda Nova|3786
1055988|Unidade Pampulha|3786
659625|Unidade SEDE|3787
1063162|Itamar Franco|3788
147033|Unidade SEDE|3789
659628|CAMPUS  - CURITIBA - PORTÃO|3790
659629|CAMPUS  - FRUTAL - JARDIM LARANJEIRAS|3793
659713|Unidade Central IPA|4010
702112|UNIDADE DC NAVEGANTES|4010
659714|CAMPUS  - RIO CLARO - CHÁCARA LUZA|4013
659715|Unidade SEDE|4016
3241|CAMPUS UNIVERSITÁRIO PROF. PEDRO C. FORNARI|4017
659859|UFGD - Unidade I|4504
1059074|Polo de Apoio Presencial UAB - Bataguassu|4504
1059075|Polo de Apoio Presencial UAB - Miranda|4504
1059076|Polo de Apoio Presencial UAB - São Gabriel do Oeste|4504
1059077|Polo de Apoio Presencial UAB - Porto Murtinho|4504
1059268|UFGD - Unidade IV|4504
2932|Unidade de Sananduva|3336
2934|Unidade de Santana do Livramento|3336
2937|Unidade de São Luiz Gonzaga|3336
2938|Unidade de Vacaria|3336
2939|Unidade de Tapes|3336
5724|Unidade de Porto Alegre|3336
699336|Unidade de SÃO BORJA|3336
699380|Unidade de Encantado|3336
699381|Unidade de Frederico Westphalen|3336
702643|Unidade de Cachoeira do Sul|3336
704777|CAMPUS  - TRÊS PASSOS - CENTRO|3336
1042104|Unidade de Erechim|3336
1042111|Unidade de Santa Cruz do Sul|3336
1050395|Unidade de Cidreira|3336
1050402|Cruz Alta|3336
1056624|Unidade de Bagé|3336
1056625|Unidade de São Francisco de Paula|3336
1059373|Litoral Norte|3336
1068897|Unidade Alto da Serra do Botucaraí|3336
25534|CET SAO CRISTOVAO|3337
1036273|Unidade I|3797
659632|CAMPUS  - JAÚ - CENTRO|3803
659633|Faculdade Senac Porto Alegre|3804
659634|UNIDADE  - CABEDELO|3805
659636|Alta Floresta-Centro|3815
139444|Unidade SEDE|3817
1054601|Faculdade Maurício de Nassau de João Pessoa|3817
659716|CAMPUS  - JUNDIAÍ - CENTRO|4017
659717|Unidade Sede|4020
659718|UNIDADE - GARÇA|4021
659719|CAMPUS - JUNDIAÍ - CENTRO|4022
1051194|Faculdade de Tecnologia de Jundiaí|4022
6781|FATEC-MAUÁ|4023
1053292|Fatec-Mauá|4023
1041723|Unidade SEDE|4024
659722|CAMPUS  - SÃO JOSÉ DO RIO PRETO - ELDORADO|4025
699709|CAMPUS - SÃO PAULO - CIDADE AE CARVALHO|4026
1061053|Polo de Apoio Presencial UAB - Costa Rica|4504
1063041|Polo de Apoio Presencial UAB - ÁGUA CLARA|4504
1063043|Polo de Apoio Presencial UAB - BELA VISTA|4504
1063044|Polo de Apoio Presencial UAB - CAMAPUA|4504
1063045|Polo de Apoio Presencial UAB - RIO BRILHANTE|4504
659860|FAP - Faculdade Regional de Palmitos|4518
659459|CET CENTRO|3337
6076|Campus II|3339
659460|CAMPUS  - GETÚLIO VARGAS - CHAMPAGNAT|3339
1039317|Unidade SEDE|3360
659464|Faculdade Guaraí|3363
659465|Unidade SEDE|3365
659466|CAMPUS  - OLIVEIRA - CENTRO|3367
3755|Unidade Acadêmica de Silvianópolis|3368
10317|Polo UNIS - FORMIGA|3368
1051498|UNIDADE SEDE|3823
25528|Unidade Cajazeiras|3826
659639|Unidade SEDE|3826
1057405|UNIUOL Faculdades|3838
659644|CAMPUS  - BELO HORIZONTE - FUNCIONÁRIOS|3839
659130|CAMPUS LAGES|3840
659646|Faculdade Baiana de Direito e Gestão|3847
1051626|CAMPUS - SÃO PAULO - CIDADE AE CARVALHO|4026
659724|Unidade SEDE|4028
659725|Central|4029
659726|CAMPUS I|4030
705924|CAMPUS II|4030
1043031|CAMPUS III|4030
699848|Unidade SEDE|4036
659729|Unidade SEDE|4037
659732|Campus Gama|4042
699877|CAMPUS  - AVARÉ - JARDIM AMÉRICA|4043
13101|PAP PEDERNEIRAS|1491
13112|PAP PERUIBE - SP|1491
13125|Pólo EAD - Porto Velho|1491
13142|PAP PINDAMONHANGABA - SP|1491
11542|JUIZ DE FORA - MG|1491
11553|PAP CAJAMAR|1491
11562|CAMPO LARGO|1491
11569|CAMPO MAGRO|1491
11775|CURITIBA - UBERABA EDUSOL|1491
11780|VENÂNCIO AIRES - EDUSOL|1491
11782|FERRAZ DE VASCONCELOS|1491
12256|SANTO ANTÔNIO DA PLATINA|1491
12269|SANTO ANTÔNIO DO SUDOESTE|1491
12321|SÃO JORGE D'OESTE|1491
12357|PAP SÃO MATEUS DO SUL - PR.|1491
13159|PAP PIRACICABA|1491
13168|MARINGÁ|1491
11571|PARAISÓPOLIS - MG|1491
11575|CAMPO MOURÃO|1491
11785|MACAPÁ|1491
11796|PARANAVAÍ - CENTRO|1491
12382|SAO PEDRO DO IVAI|1491
12491|SENGES|1491
13208|PÓLO EAD - GARUVA|1491
13211|PAP PRESIDENTE PRUDENTE|1491
11588|CANTAGALO|1491
11600|PAP CAPANEMA - PR.|1491
11797|CURITIBA - DIVINA|1491
11804|PAP GUARUJÁ|1491
11808|ANITA GARIBALDI|1491
12505|TELÊMACO BORBA|1491
12525|PAP TERRA BOA - PR.|1491
13227|RANCHARIA|1491
13245|PAP Maricá (Itaipuaçu)|1491
13259|PAP NITERÓI (GPI)|1491
11610|CAPITÃO LEÔNIDAS MARQUES|1491
11615|POÇOS DE CALDAS - MG|1491
11629|POUSO ALEGRE - MG|1491
11833|PÉROLA|1491
11843|CURITIBA - SITIO CERCADO|1491
12535|TIJUCAS DO SUL|1491
12540|PAP TOLEDO - PR.|1491
12549|PAP UBIRATÃ - PR.|1491
13430|PAP SÃO BERNARDO DO CAMPO - SP|1491
13446|PAP Teresopolis|1491
13455|PAP TRÊS RIOS|1491
11631|CASCAVEL - JD. SEMINARIO|1491
11637|PAP CAMPINAS (AMOREIRAS)|1491
11880|FAXINAL|1491
11893|FAZENDA RIO GRANDE|1491
12599|PAP UMUARAMA - PR.|1491
12729|UNIÃO DA VITÓRIA - EDUSOL|1491
13590|ERECHIM|1491
13597|ESMERALDA|1491
13607|ESPUMOSO|1491
11647|CASCAVEL - ALTO ALEGRE|1491
11650|SÃO GABRIEL|1491
11909|FOZ DO IGUAÇÚ - CETESI|1491
11913|PAP HORTOLÂNDIA|1491
11938|BLUMENAU|1491
12735|VERÊ|1491
12761|DUQUE DE CAXIAS|1491
13362|PAP SALTO|1491
13376|BOM JESUS|1491
13384|PAP SANDOVALINA|1491
11658|PAP JAGUARIÚNA|1491
11663|SÃO JOSÉ DOS AUSENTES|1491
11954|IBIRAREMA|1491
11967|Pólo EAD - Brusque|1491
12774|Pólo EAD - Maricá|1491
12779|NITERÓI|1491
12799|Pólo EAD - Nova Friburgo|1491
13502|PAP SÃO JOSÉ DOS CAMPOS (ITS) - SP|1491
13550|CAMPO NOVO|1491
11676|SAO LEOPOLDO|1491
11682|PAP CAMPOS DO JORDÃO|1491
11984|CAMPO ALEGRE|1491
12003|CANOINHAS|1491
12036|IBIUNA|1491
12813|Pólo EAD - Parati|1491
12842|RIO DE JANEIRO - REALENGO|1491
13291|PARATI|1491
13308|AGUDO|1491
11683|PAP NOVA LONDRINA - PR.|1491
11687|CHOPINZINHO|1491
12046|PÉROLA D'OESTE|1491
12058|PIÊN - EDUSOL|1491
12849|RIO DE JANEIRO - RECREIO DOS BANDEIRANTES|1491
12908|PAP ITAPEVI - SP|1491
13415|CAÇAPAVA DO SUL|1491
13419|PAP SANTOS - SP|1491
11689|SAO MARTINHO|1491
11697|PAP CARAPICUIBA|1491
11702|CIANORTE|1491
12062|CHAPECÓ|1491
12093|PONTA GROSSA|1491
12911|PAP ITARARÉ|1491
12913|Pólo EAD - Jarinu|1491
13560|CARAZINHO|1491
13572|CAXIAS DO SUL|1491
11709|SAO SEPE|1491
11713|CORUMBATAI|1491
11718|CLEVELÂNDIA|1491
12105|PRUDENTÓPOLIS|1491
12120|PAP QUEDAS DO IGUAÇU (CETEC) - PR.|1491
12137|QUITANDINHA|1491
12925|PAP LIMEIRA|1491
12943|SÃO JOÃO DE MERITI|1491
13349|ARROIO DO TIGRE|1491
13350|PAP RIO CLARO|1491
11723|PALMEIRA|1491
11727|PAP CRUZEIRO|1491
12152|PAP REALEZA - PR.|1491
12164|RIO BRANCO DO SUL|1491
12946|PAP MARÍLIA|1491
12950|PAP MOGI DAS CRUZES - SP|1491
12956|TERESÓPOLIS|1491
11487|ASTORGA|1491
11493|ITAJUBÁ - MG|1491
11729|PAP COLORADO - PR.|1491
11733|PAP PALMITAL - PR.|1491
11738|TRÊS PASSOS|1491
12219|RIO NEGRO|1491
12223|ROLÂNDIA|1491
12969|PAP MOGI GUAÇU|1491
12972|TRÊS RIOS|1491
11499|BELA VISTA DO PARAÍSO|1491
11507|BITURUNA|1491
11744|PAP PALOTINA (CETESI) - PR|1491
11747|PAP DESCALVADO|1491
12228|SALTO DO LONTRA|1491
12232|PAP INDAIATUBA|1491
12984|PAP MONTE MOR|1491
13031|PAP OSASCO - SP|1491
11525|JOÃO MOLENVADE - MG|1491
11535|PAP CABREUVA|1491
11536|CAMPINA GRANDE DO SUL - EDUSOL|1491
11752|CURITIBA - CATEDRAL EDUSOL|1491
11755|PARANAGUÁ - NOVA GERAÇÃO|1491
12240|PAP SANTA HELENA - PR.|1491
12245|SANTA MARIA DO OESTE|1491
12251|SANTA TEREZINHA DE ITAIPU|1491
13052|PAP OURINHOS|1491
11763|PAP EMBU-GUACU (IBEC) - SP|1491
11765|VACARIA|1491
6772|BELO HORIZONTE (SANTA TEREZNHA)|1491
6773|PAP RIO DE JANEIRO (REALENGO)|1491
10588|CORONEL MARTINS|1491
6310|IPATINGA - MG|1491
6311|ITAJUBÁ - MG|1491
6312|JUIZ DE FORA|1491
6314|POÇOS DE CALDAS - MG|1491
6459|Polo de Apoio Presencial - Porto Velho|1491
6460|ARROIO DO TIGRE|1491
6464|CACHOEIRA DO SUL|1491
6579|PAP PEDERNEIRAS|1491
6583|PAP PIRACICABA|1491
6587|Polo de Apoio Presencial - Pato Branco|1491
10589|IJUÍ|1491
10596|ITAQUI|1491
6315|PRATA - MG|1491
6316|JUARA|1491
6465|CAMPO NOVO|1491
6472|ERECHIM|1491
6474|IJUÍ|1491
6588|PAP RIO CLARO|1491
6592|PAP SANDOVALINA|1491
6596|PAP SÃO JOSÉ DOS CAMPOS (ITS) - SP.|1491
10602|JAQUIRANA|1491
10608|LAJEADO|1491
10609|CRUZEIRO DO SUL|1491
6317|Polo de Apoio Presencial - Lucas do Rio Verde|1491
6322|SÃO PEDRO DO SUAÇUÍ - MG|1491
6475|ITAQUI|1491
6477|LAJEADO|1491
6599|SÃO PAULO (LAPA)|1491
6600|SÃO PAULO VILA PRUDENTE - IBEC|1491
10613|MONTENEGRO|1491
10616|Polo de Apoio Presencial - Rio Branco|1491
6324|SETE LAGOAS - MG|1491
6325|UBERLÂNDIA - MG|1491
6328|CAMPO GRANDE (EDUSOL)|1491
6478|MONTENEGRO|1491
6479|NONOAI|1491
6481|PALMEIRA DAS MISSÕES|1491
6601|PAP SÃO ROQUE - SP|1491
6604|PAP SOROCABA (COLÉGIO OPÇÃO)|1491
10647|Pólo EAD - Maceió|1491
10648|PORTO ALEGRE CENTRO|1491
10651|ITAPOÁ|1491
10654|Pólo EAD - Palmeiras dos Índios|1491
6329|CAMPO GRANDE (EDUTEC)|1491
6338|POLO DE APOIO PRESENCIAL - ALTAMIRA (CASTELO DOS SONHOS)|1491
6486|PASSO FUNDO|1491
6487|PORTO XAVIER|1491
6605|Polo de Apoio Presencial - Ubatuba|1491
6606|ALVORADA|1491
6608|Polo de Apoio Presencial - Araguaína|1491
10662|PORTO XAVIER|1491
10665|MANAUS|1491
6346|SORRISO|1491
6349|GRAJAÚ|1491
6351|TABAPORÃ|1491
6489|IPORÃ|1491
6495|SANTA ROSA|1491
6498|SANTO ANGELO|1491
6609|DIANÓPOLIS|1491
6616|Polo de Apoio Presencial - Palmitos|1491
10632|PALMEIRA DAS MISSÕES|1491
10634|DELMIRO GOUVEIA|1491
10642|JUNQUEIRO|1491
6363|BELÉM|1491
6364|Polo de Apoio Presencial - Teresina (DAVID CALDAS)|1491
6499|IRETAMA|1491
6502|SÃO GABRIEL|1491
6510|LAPA|1491
6620|Polo de Apoio Presencial - Rio Negrinho|1491
6621|SÃO FRANCISCO DO SUL|1491
10655|PORTO ALEGRE - INFRAERO|1491
10659|Pólo EAD - Jaraguá do Sul|1491
6365|ABELARDO LUZ|1491
6368|BRAGANÇA|1491
6512|SÃO SEPE|1491
6514|TRÊS PASSOS|1491
6516|VACARIA|1491
6622|Polo de Apoio Presencial - São José|1491
6624|SÃO LOURENÇO DO OESTE|1491
10619|NONOAI|1491
10620|Pólo EAD - Florianópolis (CEPU)|1491
6369|ALTONIA|1491
6370|Polo de Apoio Presencial - Balneário Camboriú|1491
6377|Polo de Apoio Presencial - Brusque|1491
6520|Polo de Apoio Presencial - Laranjeiras do Sul|1491
6527|PAP CAJAMAR - SP|1491
6630|CURITIBA (UBERABA, EDUSOL)|1491
6632|DOIS VIZINHOS|1491
6637|CURITIBA (VICENTE MACHADO)|1491
10643|PASSO FUNDO|1491
6386|CANOINHAS|1491
6387|Polo de Apoio Presencial - Rondon do Pará|1491
6528|Polo de Apoio Presencial - Mandirituba|1491
6529|PAP CAMPINAS (AMOREIRAS)|1491
6651|PIÊN (EDUSOL)|1491
6655|Polo de Apoio Presencial - Ponta Grossa|1491
10660|ITACOATIARA|1491
6388|PAP ARAPOTI - PR,|1491
6394|CHAPECÓ|1491
6534|MARINGÁ|1491
6540|Polo de Apoio Presencial - Medianeira|1491
6659|QUITANDINHA|1491
6662|Polo de Apoio Presencial - Rio Negro|1491
10627|ARAPIRACA|1491
10631|Pólo EAD - Irani|1491
6396|POLO DE APOIO PRESENCIAL - CONCÓRDIA|1491
6402|Polo de Apoio Presencial - Florianópolis|1491
6547|Polo de Apoio Presencial - Campos do Jordão|1491
6548|PALMITAL|1491
6666|SANTA HELENA|1491
6667|Polo de Apoio Presencial - Santa Maria do Oeste|1491
6274|PAP Nazaré|1491
6280|PAP CAETITE|1491
6283|PAP VITÓRIA DA CONQUISTA|1491
6287|PAP VILA VELHA|1491
6407|Polo de Apoio Presencial - Irani|1491
6414|Polo de Apoio Presencial - Joinvile|1491
6420|Polo de Apoio Presencial - Palma Sola|1491
6551|Polo de Apoio Presencial - Paranaguá|1491
6555|EMBÚ-GUACÚ (IBEC)|1491
6557|FERRAZ DE VASCONCELOS|1491
6668|Polo de Apoio Presencial - Santa Terezinha de Itaipu|1491
6674|Polo de Apoio Presencial - São José dos Pinhais|1491
6291|CABREUVA|1491
6292|FORMOSA|1491
6429|Polo de Apoio Presencial - Castro|1491
6439|Polo de Apoio Presencial - Fazenda Rio Grande|1491
6559|PAP GUARULHOS (CENTRO) - SP|1491
6564|PAP INDAIATUBA|1491
6677|Polo de Apoio Presencial - São Mateus do Sul|1491
6695|TOLEDO|1491
6298|Polo de Apoio Presencial - Valparaiso de Goias|1491
6303|BELO HORIZONTE - INST. SAGRADA FAMILIA|1491
6440|Polo de Apoio Presencial - Foz do Iguaçu (Cetesi)|1491
6444|FRANCISCO BELTRÃO|1491
6567|PAP ITAPEVI - SP|1491
6570|PAP JARINÚ - SP|1491
6697|Polo de Apoio Presencial - Ubiratã (PR)|1491
6767|Polo de Apoio Presencial - Ji-Paraná|1491
6304|BOA ESPERANÇA- MG|1491
6450|GUARATUBA|1491
6575|PAP MARÍLIA|1491
6576|PAP OSASCO - SP|1491
658335|Campus Central|1230
688777|UNIDADE  - SANTO ÂNGELO - CENTRO SUL|1231
706037|CAMPUS  - CURITIBA - CAMPO COMPRIDO|1232
1006368|MURICY|1232
658338|CAMPUS  - CUIABÁ - JARDIM EUROPA|1233
25242|Campus CEDETEG|1126
658271|CAMPUS SANTA CRUZ|1126
1053284|Campus Avançado de Pitanga|1126
1053285|Campus Avançado de Chopinzinho|1126
1055840|Campus Coronel Vivida|1126
1055841|Campus Mallet|1126
2006681|Polo UAB - APUCARANA|1126
362|UNIVERSIDADE DE ITAÚNA - CAMPUS ALMENARA|1128
658272|CAMPUS  - ITAÚNA - CAMPUS VERDE|1128
8296|GUARAPUAVA|1196
8299|PONTA GROSSA|1196
8302|LONDRINA|1196
8310|CORNELIO PROCOPIO|1196
26003|CAMPINA GRANDE DO SUL|1196
26004|CURITIBA - CENTRO|1196
26006|SÃO JOSÉ / FLORIANÓPOLIS|1196
26008|GRANDES RIOS|1196
138174|UNIDADE SEDE|1237
695893|Faculdade Padrão|1239
1051079|FACULDADE PADRÃO|1239
658342|Faculdade de Estudos Sociais do Espírito Santo|1240
658344|Unidade SEDE|1243
658345|CAMPUS GOIABEIRAS|1244
658273|Unidade I: UNORP - SEDE|1129
8313|CASCAVEL|1196
8321|FOZ DO IGUACU|1196
8323|GOIOERÊ|1196
26010|IBIPORÃ|1196
26012|POLO 069 - RONCADOR - PR|1196
26014|SANTO ANASTÁCIO - SP|1196
658346|CAMPUS  - CASTELO - CENTRO|1245
1048676|CAMPUS  - CASTELO - CENTRO|1245
658347|POLO SEDE|1246
658348|CAMPUS  - NOVA ANDRADINA - CENTRO|1247
658349|Unidade SEDE|1248
658350|Unidade SEDE|1249
693108|UNIDADE JOÃO PINHEIRO|1252
658352|CAMPUS  - JUIZ DE FORA - GRANBERY|1253
1039921|Unidade SEDE|1254
25568|Unidade Boa Vista|1255
658354|CAMPUS  - RECIFE - IMBIRIBEIRA|1255
1068318|Unidade II: UNORP - Shopping Cidade Norte|1129
658274|Unidade SEDE|1130
658275|UNIDADE  - TERESINA - SAO PEDRO|1131
688363|CAMPUS  - IGARASSU - CENTRO|1136
25142|ARACAJU|1139
25143|GOIANIA|1139
25144|VITORIA|1139
8327|BALNEÁRIO CAMBORIÚ|1196
8328|SÃO BENTO DO SUL|1196
8331|JARAGUÁ DO SUL|1196
600225|SÃO VICENTE|1196
658314|MARINGÁ|1196
1039305|Campus 2 - Paço Alfândega|1255
658355|CAMPUS  - CASCAVEL - LOTEAMENTO FAG|1256
1057057|Tiradentes|1257
2006328|Unidade - Curitiba - Centro|1257
29121|Campus II - Rocha Pombo|1258
658357|Unidade Sede - Campus I - Avenida Brasil|1258
658359|CAMPUS  - RIO DE JANEIRO - CAMPO GRANDE|1263
658360|UNI-RN|1264
25145|SÃO PAULO|1139
25146|Pólo de Apoio Presencial - Regional do Rio de janeiro|1139
2005703|Unidade SEDE|1139
2086|Unidade Campus II - Brasil|1141
658280|Unidade SEDE|1141
1043095|Campus III - Bonsucesso|1141
1054177|Campus IV - Barra|1141
658281|UNIDADE  - VITÓRIA - SANTA LÚCIA|1142
688302|CAMPUS  - TIMBAÚBA - SAPUCAIA|1143
689767|CAMPUS  - MAIRIPORÃ - BARREIRO|1144
1884|Unidade Acadêmica de Salto - Campus IV e V|1149
8337|BLUMENAU|1196
8341|SANTA MARIA|1196
8343|CAMPO GRANDE|1196
2007981|IBIPORa|1196
658147|CAMPUS  - CURITIBA - CENTRO|1198
